año,estado,mes,modalidad,cred,monto
,,,Vivienda Usada,34,22300384.19
,,agosto,Vivienda Nueva,50,27508254.37
,,,Vivienda Usada,33,23478225.31
,,septiembre,Vivienda Nueva,54,32397675.87
,,,Vivienda Usada,37,22947188.32
,,octubre,Vivienda Nueva,60,40682771.69
,,,Vivienda Usada,57,40530126.95
,,noviembre,Vivienda Nueva,38,22460475.83
,,,Vivienda Usada,48,31319328.13
,,diciembre,Vivienda Nueva,44,26519257.83
,,,Vivienda Usada,23,13709210.76
,Guanajuato,enero,Vivienda Nueva,31,20164954.83
,,,Vivienda Usada,12,9098492.06
,,febrero,Vivienda Nueva,102,61744174.27
,,,Vivienda Usada,48,34439842.93
,,marzo,Vivienda Nueva,129,82987412.89
,,,Vivienda Usada,79,44936656.6
,,abril,Vivienda Nueva,104,69478359.16
,,,Vivienda Usada,46,27415954.34
,,mayo,Vivienda Nueva,65,41774385.39
,,,Vivienda Usada,47,35271560.73
,,junio,Vivienda Nueva,73,45797079.86
,,,Vivienda Usada,76,53359063.53
,,julio,Vivienda Nueva,62,45717820.51
,,,Vivienda Usada,45,33191540.83
,,agosto,Vivienda Nueva,82,55492407.07
,,,Vivienda Usada,72,49831035.7
,,septiembre,Vivienda Nueva,69,47155078.81
,,,Vivienda Usada,41,27332031.88
,,octubre,Vivienda Nueva,132,85120311.47
,,,Vivienda Usada,71,49196920.72
,,noviembre,Vivienda Nueva,76,48971342.2
,,,Vivienda Usada,62,41669988.76
,,diciembre,Vivienda Nueva,66,36739540.68
,,,Vivienda Usada,55,33210211.8
,Guerrero,enero,Vivienda Nueva,28,18930257.13
,,,Vivienda Usada,24,19094146.01
,,febrero,Vivienda Nueva,60,40791053.92
,,,Vivienda Usada,46,32277291.73
,,marzo,Vivienda Nueva,73,51338108.42
,,,Vivienda Usada,69,47750442.11
,,abril,Vivienda Nueva,69,48901926.41
,,,Vivienda Usada,70,48382037.31
,,mayo,Vivienda Nueva,56,37368063.31
,,,Vivienda Usada,106,76499080.37
,,junio,Vivienda Nueva,117,74422842.87
,,,Vivienda Usada,175,127388530.2
,,julio,Vivienda Nueva,94,63781137.34
,,,Vivienda Usada,132,99195391.53
,,agosto,Vivienda Nueva,53,37031411.45
,,,Vivienda Usada,103,74325900.39
,,septiembre,Vivienda Nueva,73,50939582.38
,,,Vivienda Usada,95,66980850.17
,,octubre,Vivienda Nueva,81,53084148.4
,,,Vivienda Usada,98,73775066.73
,,noviembre,Vivienda Nueva,87,53999354.65
,,,Vivienda Usada,95,67714545.15
,,diciembre,Vivienda Nueva,95,55948025.31
,,,Vivienda Usada,96,67726079.75
,Hidalgo,enero,Vivienda Nueva,97,72598701.59
,,,Vivienda Usada,22,18596127.54
,,febrero,Vivienda Nueva,208,145347527.5
,,,Vivienda Usada,50,37027711.57
,,marzo,Vivienda Nueva,219,154426316.3
,,,Vivienda Usada,100,60662702.58
,,abril,Vivienda Nueva,203,158766941.1
,,,Vivienda Usada,73,46040439.73
,,mayo,Vivienda Nueva,146,117982094.5
,,,Vivienda Usada,84,58251943.67
,,junio,Vivienda Nueva,177,147480004.6
,,,Vivienda Usada,113,82881144.4
,,julio,Vivienda Nueva,193,166781007.4
,,,Vivienda Usada,89,68159113.56
,,agosto,Vivienda Nueva,222,172096731.5
,,,Vivienda Usada,85,59465163.49
,,septiembre,Vivienda Nueva,180,133841067.1
,,,Vivienda Usada,74,57365740.12
,,octubre,Vivienda Nueva,211,152919252.2
,,,Vivienda Usada,120,83904021.69
,,noviembre,Vivienda Nueva,132,89769149.13
,,,Vivienda Usada,78,55373324.93
,,diciembre,Vivienda Nueva,181,133358224.4
,,,Vivienda Usada,107,76929970.39
,Jalisco,enero,Vivienda Nueva,25,17550606.93
,,,Vivienda Usada,6,5331911.22
,,febrero,Vivienda Nueva,58,37286326.72
,,,Vivienda Usada,34,24652039.5
,,marzo,Vivienda Nueva,78,43247814.18
,,,Vivienda Usada,41,25982593.34
,,abril,Vivienda Nueva,68,42645197.97
,,,Vivienda Usada,17,9464222.68
,,mayo,Vivienda Nueva,75,43506541.65
,,,Vivienda Usada,33,23554610.32
,,junio,Vivienda Nueva,66,47824178.54
,,,Vivienda Usada,34,24958810.93
,,julio,Vivienda Nueva,64,45294947.44
,,,Vivienda Usada,47,36877295.94
,,agosto,Vivienda Nueva,71,49410988.64
,,,Vivienda Usada,49,39264264.21
,,septiembre,Vivienda Nueva,85,61400203.48
,,,Vivienda Usada,49,39105206.05
,,octubre,Vivienda Nueva,111,75726432.03
,,,Vivienda Usada,50,39765632.33
,,noviembre,Vivienda Nueva,67,42820326.6
,,,Vivienda Usada,36,26439445.71
,,diciembre,Vivienda Nueva,99,73848478.96
,,,Vivienda Usada,47,33854363.12
,Michoacán de Ocampo,enero,Vivienda Nueva,65,41311935.13
,,,Vivienda Usada,39,28437453.69
,,febrero,Vivienda Nueva,87,53989457.94
,,,Vivienda Usada,63,40592505.83
,,marzo,Vivienda Nueva,105,67755441.36
,,,Vivienda Usada,119,78413553.45
,,abril,Vivienda Nueva,71,40063367.96
,,,Vivienda Usada,50,37238961.07
,,mayo,Vivienda Nueva,111,69680396.36
,,,Vivienda Usada,86,60102400.23
,,junio,Vivienda Nueva,99,64875253.96
,,,Vivienda Usada,88,60802184.11
,,julio,Vivienda Nueva,65,38396770.2
,,,Vivienda Usada,60,41452230.47
,,agosto,Vivienda Nueva,71,46481153.5
,,,Vivienda Usada,56,43959091.21
,,septiembre,Vivienda Nueva,71,41280047.85
,,,Vivienda Usada,76,51438411.35
,,octubre,Vivienda Nueva,90,56563932.79
,,,Vivienda Usada,90,59473816.76
,,noviembre,Vivienda Nueva,70,37795354.3
,,,Vivienda Usada,56,36441002.79
,,diciembre,Vivienda Nueva,92,55820468.93
,,,Vivienda Usada,49,35170587.63
,Morelos,enero,Vivienda Nueva,31,28712543.97
,,,Vivienda Usada,34,27298413.71
,,febrero,Vivienda Nueva,67,57273892.4
,,,Vivienda Usada,45,32373445.49
,,marzo,Vivienda Nueva,84,77295768.49
,,,Vivienda Usada,52,33701753.57
,,abril,Vivienda Nueva,92,84682542.31
,,,Vivienda Usada,50,35900244.78
,,mayo,Vivienda Nueva,104,98109583.85
,,,Vivienda Usada,70,49812957.89
,,junio,Vivienda Nueva,113,103668140.4
,,,Vivienda Usada,87,66708259.3
,,julio,Vivienda Nueva,174,159880017.7
